Date,Description,ChequeNo,Amount,Type
07-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4929,"46,367.00",Dr
07-07-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4873,"50,981.00",Dr
07-07-2025,ESDEE PAINTS LTD/CLG/HDFC BANK LTD,4866,"16,449.00",Dr
07-07-2025,CHETAK MINERALS/CLG/HDFC BANK LTD,4863,"10,323.00",Dr
08-07-2025,DHANLAXMI ENTERPRISE/CLG/,4871,"23,732.00",Dr
08-07-2025,CHIRAG CHEMICALS/CLG/THANE JANATA SAHAKARI,4872,"4,175.00",Dr
08-07-2025,SHREENATH TRADERS/CLG/IDBI BANK LTD.,4875,"2,750.00",Dr
08-07-2025,Berger Paints India /CLG/HDFC BANK LTD,4519,"1,39,004.00",Dr
09-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4934,"61,867.00",Dr
09-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4930,"35,561.00",Dr
10-07-2025,GLOBAL COLOURS AND C/CLG/HDFC BANK LTD,4946,"8,580.00",Dr
10-07-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4945,"25,098.00",Dr
11-07-2025,DT:30-06-2025 Penal Charge for Non-Utilisatio,,"6,000.00",Dr
11-07-2025,CGST FOR DT:30-06-2025 Penal Charg,,540.00,Dr
11-07-2025,SGST FOR DT:30-06-2025 Penal Charg,,540.00,Dr
11-07-2025,BHAIRAVNATH ENTERPRI/CLG/TAMILNAD MERCANTILE BA,4944,"11,743.00",Dr
11-07-2025,NEFT/IBKLN92025071166287516/IBKL/SHIVAM ENGINEERIN,,"32,084.00",Cr
14-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4931,"7,339.00",Dr
14-07-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4948,"36,480.00",Dr
14-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4935,"1,86,375.00",Dr
15-07-2025,276594/THANE JAN/KALWA (KLW),,"1,50,000.00",Cr
15-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4932,"47,956.00",Dr
15-07-2025,KABAWAT BRUSH COMPAN/CLG/ICICI BANK LTD,4874,"4,500.00",Dr
15-07-2025,Berger Paints India /CLG/HDFC BANK LTD,4949,"69,502.00",Dr
15-07-2025,DHANLAXMI ENTERPRISE/CLG/,4947,"12,052.00",Dr
16-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4936,"2,05,857.00",Dr
16-07-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4950,"71,093.00",Dr
16-07-2025,NEFT/KKBKN62025071661168742/KKBK/3D EDGE,,"1,67,974.00",Cr
17-07-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4951,"85,646.00",Dr
17-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4937,"2,19,926.00",Dr
18-07-2025,COLOUR POINT ENTERPR/CLG/SARASWAT CO-OP. BANK L,4954,"1,04,553.00",Dr
18-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4938,"4,355.00",Dr
18-07-2025,IMPS:REC:519919140935/3D EDGE/KKBK/XX6882/COLOUR P,,"1,42,616.00",Cr
19-07-2025,901/ICICI BK/KALYAN ),,"2,29,203.00",Cr
19-07-2025,GUJARAT COLOURS AND/CLG/YES BANK,4952,"4,814.00",Dr
21-07-2025,ESDEE PAINTS LTD/CLG/HDFC BANK LTD,4868,"13,852.00",Dr
21-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4939,"49,887.00",Dr
22-07-2025,DHANLAXMI ENTERPRISE/CLG/,4956,"12,598.00",Dr
22-07-2025,POOJA ENTERPRISES/CLG/AXIS BANK LTD,4955,"12,000.00",Dr
22-07-2025,MK TRADERS/CLG/IDFC BANK LTD.,4958,"4,793.00",Dr
22-07-2025,HARSH BROTHERS/CLG/YES BANK,4957,"6,400.00",Dr
23-07-2025,1767/HDFC BK/JUHU TARA,,"55,024.00",Cr
23-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4933,"61,872.00",Dr
23-07-2025,Berger Paints India /CLG/HDFC BANK LTD,4959,"45,306.00",Dr
23-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4940,"38,825.00",Dr
23-07-2025,UPI:REC:557014592154/SAEEDUL HAQUE MOHA/ICICI Bank,,"46,256.00",Cr
25-07-2025,GRASIM INDUSTRIES LT/CLG/HDFC BANK LTD,4962,"1,017.00",Dr
28-07-2025,ESDEE PAINTS LTD/CLG/HDFC BANK LTD,4869,"15,065.00",Dr
28-07-2025,CUBE COLORS PRIVATE /CLG/AXIS BANK LTD,4967,"32,708.00",Dr
29-07-2025,HARSH BROTHERS/CLG/YES BANK,4965,"9,502.00",Dr
29-07-2025,ASIAN PAINTS SUPPLIE/CLG/HDFC BANK LTD,4867,"38,056.00",Dr
29-07-2025,KABAWAT BRUSH COMPAN/CLG/ICICI BANK LTD,4963,"6,522.00",Dr
29-07-2025,VITHALDAS NAGARDAS B/CLG/IDFC BANK LTD.,4970,"2,301.00",Dr
29-07-2025,Berger Paints India /CLG/HDFC BANK LTD,4960,"11,390.00",Dr
